 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Ano
Imuno: 074 Poliomielite
Período:1994-2019
"Unidade da Federação";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";23868;25553;28089;27372;31703;29458;30687;32260;30817;30004;30011;30979;30436;27794;28390;29203;26389;27986;27559;27664;28654;28514;29049;29923;27046;15704;735112
"12 Acre";3354;6286;8550;10176;9521;10469;14104;16969;19380;21043;18263;16242;15567;18825;17025;18696;17536;18717;16194;16509;12585;14078;12167;12612;12207;8156;365231
"13 Amazonas";14101;35530;52932;56596;58704;58301;73492;70224;73211;69813;65233;66858;67905;68361;65312;70763;69942;65908;69525;73694;76499;82643;61556;61601;60189;42999;1631892
"14 Roraima";3697;6645;6076;5831;7537;7421;13067;8215;8389;8780;8867;9727;8723;9103;9045;9989;9318;9203;8554;8543;9490;12131;9820;9716;9089;6132;223108
"15 Pará";65130;69625;75020;73342;126192;132469;171439;167304;187192;190842;178529;179784;174558;166888;165702;151337;147442;144821;139453;137661;116248;100218;90485;96257;93892;59386;3401216
"16 Amapá";-;6232;7842;10015;9218;10855;12979;22652;13382;14533;14525;14090;13882;14255;14666;18028;12974;12092;13248;14101;12007;14489;7721;10364;10650;7219;312019
"17 Tocantins";-;-;17739;26282;29039;29649;30017;31687;29059;28404;27376;28042;28344;27268;25666;26851;24213;24813;23101;24278;22076;23434;21142;21431;21697;14698;606306
"21 Maranhão";62646;65935;59027;80400;84862;90150;108016;135696;137927;143536;137068;147343;145927;150977;138573;138574;131755;127189;120534;128088;108354;114681;81118;85052;87577;53764;2864769
"22 Piauí";35045;43502;43783;37363;49862;57141;60347;62529;63056;62044;58033;58397;59557;57633;52682;52796;49400;50275;47951;46683;39259;37555;33867;37212;39008;25066;1260046
"23 Ceará";169581;172611;169939;179325;149625;175127;172936;175683;164480;158482;159091;155080;147449;145864;141080;138877;132742;131381;128487;134770;131838;142023;138737;124177;137195;79554;3856134
"24 Rio Grande do Norte";40568;42520;39534;42005;41323;45565;48976;48954;50274;50932;50134;51540;49540;47590;45992;46932;47268;47370;45953;45139;44934;45611;33785;33203;40645;20460;1146747
"25 Paraíba";-;31409;59584;59820;61521;67219;65759;68622;67009;65860;64143;67432;66900;65642;62870;66042;60581;61192;55258;63581;56993;54630;49156;47206;51344;29633;1469406
